model,condition,answers,adequacy_rate,partial_rate,inadequate_rate,cannot_judge_rate,mean_slot_coverage,empty_rate,avg_candidates,relevant_hit_rate,inclusive_precision,inclusive_precision_lower,inclusive_precision_upper,strict_core_precision,candidate_count,candidate_unknown_count
deepseekcoder,base,20,0.4,0.25,0.35,0.0,0.5541666666666666,0.0,3.35,0.8,0.6865671641791045,0.6865671641791045,0.6865671641791045,0.3582089552238806,67,0
deepseekcoder,foldA,20,0.25,0.3,0.45,0.0,0.4083333333333333,0.2,3.05,0.75,0.819672131147541,0.819672131147541,0.819672131147541,0.4262295081967213,61,0
deepseekcoder,foldB,20,0.3,0.4,0.3,0.0,0.5083333333333333,0.0,3.8,0.95,0.75,0.75,0.75,0.3684210526315789,76,0
deepseekcoder,foldC,20,0.2,0.45,0.35,0.0,0.4291666666666667,0.15,4.0,0.85,0.75,0.75,0.75,0.3125,80,0
deepseekcoder,foldD,20,0.25,0.35,0.4,0.0,0.4416666666666666,0.05,3.45,0.8,0.7246376811594203,0.7246376811594203,0.7246376811594203,0.30434782608695654,69,0
llama3.1-release,base,20,0.4,0.25,0.35,0.0,0.5416666666666666,0.0,4.05,0.8,0.5802469135802469,0.5802469135802469,0.5802469135802469,0.25925925925925924,81,0
llama3.1-release,foldA,20,0.1,0.2,0.7,0.0,0.19166666666666665,0.15,3.7,0.75,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.12162162162162163,74,0
llama3.1-release,foldB,20,0.2,0.15,0.65,0.0,0.2833333333333333,0.2,3.95,0.75,0.6329113924050633,0.6329113924050633,0.6329113924050633,0.13924050632911392,79,0
llama3.1-release,foldC,20,0.4,0.2,0.4,0.0,0.5083333333333333,0.0,3.2,0.95,0.671875,0.671875,0.671875,0.3125,64,0
llama3.1-release,foldD,20,0.3,0.2,0.5,0.0,0.3916666666666667,0.0,4.15,0.9,0.6265060240963856,0.6265060240963856,0.6265060240963856,0.1566265060240964,83,0
qwen3-release,base,20,0.3,0.25,0.45,0.0,0.4333333333333334,0.05,3.0,0.85,0.55,0.55,0.55,0.21666666666666667,60,0
qwen3-release,foldA,20,0.3,0.2,0.5,0.0,0.41666666666666663,0.1,2.15,0.7,0.627906976744186,0.627906976744186,0.627906976744186,0.27906976744186046,43,0
qwen3-release,foldB,20,0.2,0.2,0.6,0.0,0.32499999999999996,0.3,1.55,0.6,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.45161290322580644,31,0
qwen3-release,foldC,20,0.3,0.05,0.65,0.0,0.325,0.15,2.55,0.7,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.2549019607843137,51,0
qwen3-release,foldD,20,0.25,0.1,0.65,0.0,0.3,0.2,2.05,0.65,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.21951219512195122,41,0
