model,fold,unseen_prompts,generations_per_prompt,unseen_eval_total_sec,unseen_eval_sec_per_prompt_5_generations,unseen_eval_sec_per_generation_amortized,edit50_eval_total_sec,edit50_eval_sec_per_prompt_5_generations,timing_path,eval_path,eval_sha256
deepseekcoder,A,541,5,6916.16,12.784029574861368,2.5568059149722737,622.04,12.4408,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_A/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_A/BOUND/eval_unseen_prompts.json,4c3ebe003c36a76f042c5e3d916b50fa0f4899ae0fa1c8d2b9b1b530c6d263b2
deepseekcoder,B,541,5,5588.84,10.330573012939002,2.0661146025878003,668.43,13.368599999999999,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_B/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_B/BOUND/eval_unseen_prompts.json,45596f07710ab978cfa2dd7b764b50f047f8e2895e244fe27ec632efc94ce79c
deepseekcoder,C,541,5,5631.75,10.40988909426987,2.081977818853974,649.0,12.98,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_C/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_C/BOUND/eval_unseen_prompts.json,83516bff560178517601c4b55374d526fceb5d8395e8dc807ff1f7f51a590ae0
deepseekcoder,D,541,5,10451.4,19.318669131238448,3.8637338262476892,964.42,19.2884,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_D/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/deepseekcoder/fold_D/BOUND/eval_unseen_prompts.json,40db0abcf84db7f79981ed51bda6d493f86a79625e5d6962a781a028f72b1255
qwen3,A,409,5,2602.5,6.363080684596577,1.2726161369193154,480.96,9.6192,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_A/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_A/BOUND/eval_unseen_prompts.json,eaf88aca8467df2fafa3e47f7fa7667d97f15df3397e10984fb0c07766f22872
qwen3,B,409,5,2288.65,5.595721271393643,1.1191442542787287,346.96,6.9392,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_B/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_B/BOUND/eval_unseen_prompts.json,b835cd048b092973cebdf99a75d4d4d0d928abdd7d340aca2947bf4e7642a4db
qwen3,C,409,5,3972.85,9.713569682151588,1.9427139364303179,594.62,11.8924,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_C/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_C/BOUND/eval_unseen_prompts.json,eba36bf869ed96ddea616fde21abc576f5a6ea76419069fcdb26ab57a061bba5
qwen3,D,409,5,4703.47,11.49992665036675,2.29998533007335,828.5,16.57,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_D/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/qwen3/fold_D/BOUND/eval_unseen_prompts.json,6b267c66736cd59ee73cc1e619411b54b3893b27e35a4837b01523ebcccda019
llama3.1,A,934,5,14884.32,15.936102783725909,3.187220556745182,1475.42,29.5084,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_A/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_A/BOUND/eval_unseen_prompts.json,dd391b545fd0f24cffd2868d5a108911a84257210e2854e4dd58e46f1d608de5
llama3.1,B,934,5,12720.64,13.619528907922911,2.723905781584582,689.89,13.7978,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_B/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_B/BOUND/eval_unseen_prompts.json,4ecdfa564f987bc9e12259524c5e189d3f7888412222756fc9a49ea2d67c4310
llama3.1,C,934,5,9152.64,9.799400428265525,1.959880085653105,797.58,15.951600000000001,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_C/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_C/BOUND/eval_unseen_prompts.json,2568dbe84dd9b97ef57476ddafc57d0f62268069f52606e7bde7b93a432e5c2b
llama3.1,D,934,5,9530.0,10.203426124197001,2.0406852248394003,774.31,15.486199999999998,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_D/BOUND/timing.json,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/BOUND_rebuttal/replication package/BOUND/results/paper/package_recommendation/llama3.1/fold_D/BOUND/eval_unseen_prompts.json,b9f0eaa9cc16b5eb5537c1e15186be2db0ffc5f794f515d23c7ffd38364dba39
