model,cutoff,condition,n,sample_hr_lower,sample_hr_upper,package_hr_lower,package_hr_upper,valid_rate_confirmed,unknown_answer_rate,pre_cutoff_count,post_cutoff_count,absent_count,unknown_count,package_count,empty_count
deepseekcoder,2023-10-29,base,2705,0.6953789279112754,0.766358595194085,0.30620826119218403,0.33650754390304227,0.7977818853974122,0.09020332717190388,5365,104,2372,245,8086,36
deepseekcoder,2023-10-29,bov,2705,0.039186691312384475,0.12754158964879853,0.018716109847822283,0.06157075389190135,0.7977818853974122,0.09020332717190388,5365,104,3,245,5717,364
deepseekcoder,2023-10-29,bound_A,2705,0.2044362292051756,0.22144177449168206,0.12372737556561086,0.13390837104072398,0.8155268022181146,0.026617375231053605,6125,41,834,72,7072,408
deepseekcoder,2023-10-29,bound_B,2705,0.3763401109057301,0.40739371534195934,0.1684100418410042,0.18266213389121339,0.8876155268022181,0.03992606284658041,6251,51,1237,109,7648,105
deepseekcoder,2023-10-29,bound_C,2705,0.33382624768946395,0.37264325323475045,0.12320916905444126,0.13742969330361882,0.9168207024029574,0.048798521256931605,8128,58,1103,134,9423,159
deepseekcoder,2023-10-29,bound_D,2705,0.4414048059149723,0.4691312384473198,0.17875594131018804,0.191361851622236,0.9438077634011091,0.04436229205175601,7826,63,1667,122,9678,58
qwen3-release,2025-04-29,base,2045,0.7222493887530562,0.8420537897310514,0.26537785588752194,0.3109122863077169,0.8019559902200489,0.13789731051344745,4313,41,1620,285,6259,45
qwen3-release,2025-04-29,bov,2045,0.020048899755501223,0.15794621026894864,0.00883811166199612,0.0702737658978228,0.8019559902200489,0.13789731051344745,4313,41,0,285,4639,293
qwen3-release,2025-04-29,bound_A,2045,0.10464547677261614,0.11931540342298289,0.0729656195894138,0.08088053425674005,0.8650366748166259,0.015647921760391197,3716,2,293,32,4043,180
qwen3-release,2025-04-29,bound_B,2045,0.09095354523227384,0.10220048899755502,0.09790732436472346,0.10687593423019431,0.5569682151589243,0.0117359413202934,2390,8,254,24,2676,860
qwen3-release,2025-04-29,bound_C,2045,0.19902200488997554,0.21809290953545232,0.13730874852883485,0.14535111808552373,0.7232273838630807,0.020048899755501223,4357,14,686,41,5098,507
qwen3-release,2025-04-29,bound_D,2045,0.1877750611246944,0.19853300733496332,0.11516314779270634,0.1202233467108707,0.8283618581907091,0.014180929095354523,5042,12,648,29,5731,320
llama3.1-release,2023-12-31,base,4670,0.7036402569593148,0.7468950749464668,0.30342834624983583,0.3229344542230395,0.8289079229122056,0.062312633832976444,10309,153,4467,297,15226,59
llama3.1-release,2023-12-31,bov,4670,0.032119914346895075,0.09336188436830835,0.014220652476996004,0.04182544846175295,0.8289079229122056,0.062312633832976444,10309,153,0,297,10759,583
llama3.1-release,2023-12-31,bound_A,4670,0.3184154175588865,0.3404710920770878,0.17652973283539214,0.18902614191324332,0.7916488222698073,0.035974304068522485,11292,92,2366,174,13924,671
llama3.1-release,2023-12-31,bound_B,4670,0.3653104925053533,0.3781584582441114,0.26570713391739675,0.27409261576971217,0.6605995717344754,0.027837259100642397,11600,94,4152,134,15980,1500
llama3.1-release,2023-12-31,bound_C,4670,0.4753747323340471,0.5094218415417558,0.1993035092418966,0.21671577819448165,0.945610278372591,0.054389721627408995,11696,154,2822,260,14932,27
llama3.1-release,2023-12-31,bound_D,4670,0.35738758029978585,0.3899357601713062,0.14792347176854875,0.1606976201586561,0.941541755888651,0.046038543897216275,14389,108,2428,219,17144,81
