model,condition,n,sample_hr,package_hr,valid_rate,empty_rate,hallucinated_package_count,package_count,empty_count,n_per_fold
deepseekcoder,base,2705,0.6695009242144178,0.2933465248577789,0.8277264325323475,0.013308687615526803,2372,8086,36,
deepseekcoder,bov,2705,0.0011090573012939,0.0005247507433968865,0.8277264325323475,0.1345656192236599,3,5717,364,
deepseekcoder,bound_A,2705,0.1966728280961183,0.11792986425339366,0.8214417744916821,0.15083179297597044,834,7072,408,
deepseekcoder,bound_B,2705,0.3634011090573013,0.16174163179916318,0.9001848428835489,0.038817005545286505,1237,7648,105,
deepseekcoder,bound_C,2705,0.3197781885397412,0.11705401676748381,0.9249537892791128,0.05878003696857671,1103,9423,159,
deepseekcoder,bound_D,2705,0.4288354898336414,0.17224633188675345,0.9537892791127541,0.02144177449168207,1667,9678,58,
deepseekcoder,bound_macro,,0.3271719038817006,0.14224296117669852,0.9000924214417745,0.06746765249537892,,,,2705
qwen3-release,base,2045,0.7046454767726161,0.25882728870426586,0.8356968215158924,0.022004889975550123,1620,6259,45,
qwen3-release,bov,2045,0.0,0.0,0.8356968215158924,0.1432762836185819,0,4639,293,
qwen3-release,bound_A,2045,0.10366748166259168,0.07247093742270591,0.8733496332518338,0.08801955990220049,293,4043,180,
qwen3-release,bound_B,2045,0.08753056234718827,0.09491778774289986,0.560880195599022,0.42053789731051344,254,2676,860,
qwen3-release,bound_C,2045,0.1941320293398533,0.13456257355825815,0.7271393643031785,0.24792176039119804,686,5098,507,
qwen3-release,bound_D,2045,0.1843520782396088,0.11306927237829349,0.8308068459657701,0.15647921760391198,648,5731,320,
qwen3-release,bound_macro,,0.14242053789731052,0.10375514277553936,0.7480440097799511,0.22823960880195598,,,,2045
llama3.1-release,base,4670,0.684796573875803,0.29337974517273085,0.8479657387580299,0.012633832976445396,4467,15226,59,
llama3.1-release,bov,4670,0.0,0.0,0.8479657387580299,0.12483940042826552,0,10759,583,
llama3.1-release,bound_A,4670,0.30728051391862954,0.16992243608158575,0.7995717344753748,0.1436830835117773,2366,13924,671,
llama3.1-release,bound_B,4670,0.3571734475374732,0.25982478097622025,0.6629550321199144,0.32119914346895073,4152,15980,1500,
llama3.1-release,bound_C,4670,0.45653104925053534,0.18899008840075007,0.9533190578158458,0.005781584582441114,2822,14932,27,
llama3.1-release,bound_D,4670,0.3443254817987152,0.14162389174055062,0.9494646680942184,0.01734475374732334,2428,17144,81,
llama3.1-release,bound_macro,,0.36632762312633826,0.19009029929977667,0.8413276231263384,0.12200214132762312,,,,4670
