model,prompt_id,generation
deepseekcoder,3031,3
deepseekcoder,1344,2
deepseekcoder,1065,1
deepseekcoder,4015,2
deepseekcoder,3222,2
deepseekcoder,1691,2
deepseekcoder,2684,2
deepseekcoder,1305,4
deepseekcoder,4369,3
deepseekcoder,1526,3
deepseekcoder,1630,3
deepseekcoder,1040,2
deepseekcoder,447,3
deepseekcoder,1043,3
deepseekcoder,2228,2
deepseekcoder,2184,0
deepseekcoder,2258,4
deepseekcoder,2000,1
deepseekcoder,932,3
deepseekcoder,4530,2
deepseekcoder,1243,3
deepseekcoder,1054,4
deepseekcoder,741,4
deepseekcoder,4692,2
deepseekcoder,280,1
deepseekcoder,934,2
deepseekcoder,2750,2
deepseekcoder,146,4
deepseekcoder,1163,1
deepseekcoder,3746,3
qwen3-release,3862,2
qwen3-release,3256,3
qwen3-release,3189,0
qwen3-release,1429,1
qwen3-release,4585,4
qwen3-release,2010,0
qwen3-release,848,0
qwen3-release,3574,2
qwen3-release,493,1
qwen3-release,1393,1
qwen3-release,4453,4
qwen3-release,885,2
qwen3-release,2292,1
qwen3-release,1510,3
qwen3-release,3667,2
qwen3-release,996,3
qwen3-release,1622,4
qwen3-release,3666,0
qwen3-release,1021,4
qwen3-release,2251,2
qwen3-release,1302,2
qwen3-release,4530,1
qwen3-release,439,4
qwen3-release,4601,3
qwen3-release,4329,2
qwen3-release,325,2
qwen3-release,2491,3
qwen3-release,941,4
qwen3-release,4042,4
qwen3-release,2704,0
llama3.1-release,2092,0
llama3.1-release,624,2
llama3.1-release,782,4
llama3.1-release,1524,4
llama3.1-release,2114,3
llama3.1-release,2692,4
llama3.1-release,4346,0
llama3.1-release,4544,0
llama3.1-release,1057,3
llama3.1-release,4658,4
llama3.1-release,1396,4
llama3.1-release,127,2
llama3.1-release,3179,0
llama3.1-release,911,0
llama3.1-release,2289,4
llama3.1-release,755,1
llama3.1-release,2050,0
llama3.1-release,3386,2
llama3.1-release,3592,0
llama3.1-release,2425,4
llama3.1-release,3548,0
llama3.1-release,860,1
llama3.1-release,569,3
llama3.1-release,1223,0
llama3.1-release,1427,2
llama3.1-release,2810,2
llama3.1-release,1028,0
llama3.1-release,4321,1
llama3.1-release,1453,0
llama3.1-release,2307,3
