model,prompt_id,n,sample_hr,stratum
DeepSeekCoder,44,5,0.0,clean
DeepSeekCoder,68,5,0.0,clean
DeepSeekCoder,69,5,0.0,clean
DeepSeekCoder,79,5,0.0,clean
DeepSeekCoder,95,5,0.0,clean
DeepSeekCoder,107,5,0.0,clean
DeepSeekCoder,119,5,0.0,clean
DeepSeekCoder,153,5,0.2,low_or_moderate
DeepSeekCoder,160,5,0.2,low_or_moderate
DeepSeekCoder,162,5,0.0,clean
DeepSeekCoder,176,5,0.0,clean
DeepSeekCoder,188,5,0.0,clean
DeepSeekCoder,195,5,0.2,low_or_moderate
DeepSeekCoder,222,5,0.2,low_or_moderate
DeepSeekCoder,247,5,0.0,clean
DeepSeekCoder,253,5,0.0,clean
DeepSeekCoder,290,5,1.0,high
DeepSeekCoder,296,5,0.0,clean
DeepSeekCoder,352,5,0.0,clean
DeepSeekCoder,360,5,0.0,clean
DeepSeekCoder,392,5,0.0,clean
DeepSeekCoder,424,5,0.0,clean
DeepSeekCoder,428,5,0.0,clean
DeepSeekCoder,495,5,0.0,clean
DeepSeekCoder,498,5,0.0,clean
DeepSeekCoder,520,5,0.2,low_or_moderate
DeepSeekCoder,527,5,0.2,low_or_moderate
DeepSeekCoder,554,5,0.0,clean
DeepSeekCoder,565,5,0.2,low_or_moderate
DeepSeekCoder,600,5,0.0,clean
DeepSeekCoder,606,5,0.0,clean
DeepSeekCoder,611,5,0.2,low_or_moderate
DeepSeekCoder,619,5,0.0,clean
DeepSeekCoder,679,5,0.0,clean
DeepSeekCoder,722,5,0.0,clean
DeepSeekCoder,728,5,0.0,clean
DeepSeekCoder,758,5,0.0,clean
DeepSeekCoder,767,5,0.2,low_or_moderate
DeepSeekCoder,799,5,0.2,low_or_moderate
DeepSeekCoder,826,5,0.4,low_or_moderate
DeepSeekCoder,833,5,0.0,clean
DeepSeekCoder,853,5,0.0,clean
DeepSeekCoder,855,5,0.0,clean
DeepSeekCoder,868,5,0.0,clean
DeepSeekCoder,875,5,0.0,clean
DeepSeekCoder,898,5,0.0,clean
DeepSeekCoder,900,5,0.0,clean
DeepSeekCoder,933,5,0.0,clean
DeepSeekCoder,946,5,0.0,clean
DeepSeekCoder,985,5,0.0,clean
DeepSeekCoder,1067,5,0.0,clean
DeepSeekCoder,1085,5,0.8,high
DeepSeekCoder,1102,5,0.0,clean
DeepSeekCoder,1116,5,0.0,clean
DeepSeekCoder,1133,5,0.0,clean
DeepSeekCoder,1162,5,0.0,clean
DeepSeekCoder,1185,5,0.0,clean
DeepSeekCoder,1194,5,0.0,clean
DeepSeekCoder,1198,5,0.0,clean
DeepSeekCoder,1220,5,0.6,high
DeepSeekCoder,1222,5,0.0,clean
DeepSeekCoder,1250,5,1.0,high
DeepSeekCoder,1276,5,0.0,clean
DeepSeekCoder,1325,5,0.0,clean
DeepSeekCoder,1461,5,0.0,clean
DeepSeekCoder,1462,5,0.0,clean
DeepSeekCoder,1479,5,0.0,clean
DeepSeekCoder,1492,5,0.2,low_or_moderate
DeepSeekCoder,1510,5,0.6,high
DeepSeekCoder,1517,5,0.2,low_or_moderate
DeepSeekCoder,1519,5,0.0,clean
DeepSeekCoder,1569,5,0.4,low_or_moderate
DeepSeekCoder,1637,5,0.0,clean
DeepSeekCoder,1647,5,0.0,clean
DeepSeekCoder,1679,5,0.0,clean
DeepSeekCoder,1702,5,0.2,low_or_moderate
DeepSeekCoder,1712,5,0.0,clean
DeepSeekCoder,1741,5,0.0,clean
DeepSeekCoder,1784,5,0.0,clean
DeepSeekCoder,1806,5,0.0,clean
