model,fold,n_prompts,baseline_sample_hallucination_rate,edited_sample_hallucination_rate,baseline_package_hallucination_rate,edited_package_hallucination_rate,baseline_sample_valid_rate,edited_sample_valid_rate,base_no_package,bound_no_package
deepseekcoder,A,500,0.11680000000000008,0.06999999999999995,0.06387961849254815,0.03231176687857905,0.8180000000000003,0.7004000000000007,0.0764,0.2656
deepseekcoder,B,500,0.11680000000000008,0.10800000000000008,0.06387961849254815,0.05437421457447738,0.8180000000000003,0.8423999999999999,0.0764,0.098
deepseekcoder,C,500,0.11680000000000008,0.09240000000000002,0.06387961849254815,0.03706798167854007,0.8180000000000003,0.8404000000000005,0.0764,0.1064
deepseekcoder,D,500,0.11680000000000008,0.16240000000000013,0.06387961849254815,0.06804961130322112,0.8180000000000003,0.9008000000000002,0.0764,0.0556
qwen3,A,500,0.056799999999999976,0.0212,0.031062756513964306,0.012125842893489952,0.6828000000000003,0.7844000000000002,0.2496,0.1528
qwen3,B,500,0.056799999999999976,0.014000000000000004,0.031062756513964306,0.00956215784215784,0.6828000000000003,0.5004000000000004,0.2496,0.4852
qwen3,C,500,0.056799999999999976,0.041999999999999975,0.031062756513964306,0.023505995705847212,0.6828000000000003,0.6356000000000005,0.2496,0.3272
qwen3,D,500,0.056799999999999976,0.03759999999999998,0.031062756513964306,0.02032009074507604,0.6828000000000003,0.7200000000000004,0.2496,0.2532
llama31,A,500,0.1924000000000003,0.11040000000000004,0.10139686277704667,0.05724417360329907,0.8460000000000005,0.7340000000000004,0.0472,0.1416
llama31,B,500,0.1924000000000003,0.17200000000000035,0.10139686277704667,0.09455939600925976,0.8460000000000005,0.6752000000000001,0.0472,0.2776
llama31,C,500,0.1924000000000003,0.15680000000000027,0.10139686277704667,0.07298190183414127,0.8460000000000005,0.8984000000000002,0.0472,0.0164
llama31,D,500,0.1924000000000003,0.14000000000000018,0.10139686277704667,0.06220071246237956,0.8460000000000005,0.8864000000000005,0.0472,0.0244
