model,fold,run,n_tasks,bound_total_seconds,all_module_total_seconds,bound_pass@1,all_module_pass@1,delta_pass@1,bound_pass@10,all_module_pass@10,delta_pass@10
deepseekcoder,A,1,164,17110.24,3182.04,0.6810975609756097,0.6695121951219513,-0.011585365853658538,0.8292682926829268,0.823170731707317,-0.006097560975609756
deepseekcoder,B,1,164,2168.99,3120.77,0.676829268292683,0.6652439024390245,-0.01158536585365854,0.8353658536585366,0.8170731707317073,-0.018292682926829267
deepseekcoder,C,2,164,2089.38,3153.23,0.6743902439024391,0.674390243902439,3.384826294588892e-19,0.8353658536585366,0.7987804878048781,-0.036585365853658534
deepseekcoder,D,2,164,2197.87,3333.74,0.6707317073170732,0.6609756097560976,-0.00975609756097561,0.8353658536585366,0.823170731707317,-0.012195121951219513
qwen3-release,A,5,164,2861.21,4480.92,0.21585365853658536,0.22743902439024394,0.011585365853658538,0.5060975609756098,0.5,-0.006097560975609756
qwen3-release,B,4,164,2789.27,4283.94,0.21890243902439024,0.22195121951219515,0.003048780487804878,0.524390243902439,0.5121951219512195,-0.012195121951219513
qwen3-release,C,4,164,2840.07,4185.29,0.21890243902439027,0.19756097560975608,-0.021341463414634148,0.524390243902439,0.4268292682926829,-0.0975609756097561
qwen3-release,D,1,164,2806.07,4259.27,0.22378048780487803,0.20487804878048782,-0.01890243902439025,0.4817073170731707,0.4573170731707317,-0.024390243902439025
llama3.1-release,A,1,164,2054.52,3347.29,0.4225609756097561,0.4286585365853659,0.006097560975609754,0.7073170731707317,0.7073170731707317,0.0
llama3.1-release,B,2,164,2027.7,3504.61,0.425609756097561,0.4073170731707317,-0.018292682926829267,0.6951219512195121,0.6890243902439024,-0.006097560975609756
llama3.1-release,C,2,164,2019.82,3365.53,0.42195121951219505,0.39146341463414625,-0.030487804878048787,0.7012195121951219,0.6646341463414634,-0.036585365853658534
llama3.1-release,D,4,164,2014.17,3372.65,0.4146341463414634,0.38963414634146337,-0.025000000000000005,0.6829268292682927,0.676829268292683,-0.006097560975609756
