model,fold,n_tasks,base_pass1,bound_pass1,all_module_pass1,delta_all_minus_bound,all_module_generation_seconds
deepseekcoder,A,164,0.7317073170731707,0.6890243902439024,0.6524390243902439,-0.036585365853658534,2927.77
deepseekcoder,B,164,0.7317073170731707,0.676829268292683,0.6707317073170732,-0.006097560975609756,2895.02
deepseekcoder,C,164,0.7317073170731707,0.6707317073170732,0.6646341463414634,-0.006097560975609756,2922.86
deepseekcoder,D,164,0.7317073170731707,0.6829268292682927,0.6402439024390244,-0.042682926829268296,2881.03
qwen3-release,A,164,0.3048780487804878,0.18902439024390244,0.25,0.06097560975609756,3854.12
qwen3-release,B,164,0.3048780487804878,0.23780487804878048,0.23780487804878048,0.0,3863.46
qwen3-release,C,164,0.3048780487804878,0.22560975609756098,0.18902439024390244,-0.036585365853658534,3866.04
qwen3-release,D,164,0.3048780487804878,0.21951219512195122,0.25609756097560976,0.036585365853658534,3869.69
llama3.1-release,A,164,0.45121951219512196,0.38414634146341464,0.39634146341463417,0.012195121951219513,3112.85
llama3.1-release,B,164,0.45121951219512196,0.40853658536585363,0.42073170731707316,0.012195121951219513,2962.85
llama3.1-release,C,164,0.45121951219512196,0.3780487804878049,0.38414634146341464,0.006097560975609756,2970.18
llama3.1-release,D,164,0.45121951219512196,0.36585365853658536,0.3719512195121951,0.006097560975609756,3016.27
