model,fold,n_prompts,bound_sample_hallucination_rate,ablation_sample_hallucination_rate,delta_sample_hallucination_rate,bound_package_hallucination_rate,ablation_package_hallucination_rate,delta_package_hallucination_rate,bound_sample_valid_rate,ablation_sample_valid_rate,delta_sample_valid_rate
deepseekcoder,A,100,0.22599999999999998,0.20800000000000005,-0.018,0.12278570885213856,0.10388908804744311,-0.018896620804695424,0.796,0.8560000000000001,0.06
deepseekcoder,B,100,0.39399999999999996,0.4,0.006000000000000001,0.1963021693958914,0.1825888678736,-0.013713301522291377,0.87,0.9440000000000001,0.07400000000000001
deepseekcoder,C,100,0.37999999999999984,0.6679999999999999,0.288,0.14170915662635858,0.45889455270712964,0.317185396080771,0.9359999999999999,0.6819999999999999,-0.254
deepseekcoder,D,100,0.44799999999999995,0.36800000000000005,-0.08000000000000002,0.18652152533007235,0.1718491251110702,-0.01467240021900218,0.932,0.8420000000000001,-0.09
qwen3-release,A,100,0.094,0.21,0.11600000000000002,0.04879978252741411,0.13460062523169708,0.08580084270428298,0.86,0.6859999999999998,-0.174
qwen3-release,B,100,0.09000000000000002,0.036000000000000004,-0.05399999999999999,0.061942884736999666,0.03411544011544011,-0.027827444621559557,0.54,0.46799999999999997,-0.07200000000000001
qwen3-release,C,100,0.18000000000000005,0.138,-0.042,0.10390383600064328,0.06274002991206193,-0.04116380608858135,0.7020000000000002,0.486,-0.21599999999999997
qwen3-release,D,100,0.15600000000000003,0.02,-0.136,0.06600800157800828,0.015324786324786323,-0.05068321525322195,0.8039999999999999,0.9080000000000001,0.10400000000000001
llama3.1-release,A,100,0.612,0.396,-0.21599999999999997,0.24878833950912863,0.22739449270461518,-0.021393846804513443,0.9620000000000001,0.7020000000000001,-0.26
llama3.1-release,B,100,0.368,0.266,-0.102,0.22228207336893108,0.18815620612025438,-0.03412586724867665,0.6560000000000001,0.436,-0.22
llama3.1-release,C,100,0.53,0.634,0.10400000000000001,0.2566741567584985,0.21875081052172496,-0.037923346236773584,0.926,0.9940000000000001,0.068
llama3.1-release,D,100,0.37000000000000005,0.5760000000000001,0.206,0.1537397253646296,0.26382568934993555,0.11008596398530597,0.914,0.902,-0.011999999999999995
