model,fold,n_ranked_full,n_ranked_hall_only,n_common,top5_jaccard,top5_intersection,common_rank_spearman
deepseekcoder,A,200,200,199,1.0,5,0.9988967184592593
deepseekcoder,B,200,200,198,0.6666666666666666,4,0.9993615207246818
deepseekcoder,C,200,200,198,1.0,5,0.9984947660614371
deepseekcoder,D,200,200,200,0.6666666666666666,4,0.9984294607365186
qwen3-release,A,200,200,198,1.0,5,0.995627951924305
qwen3-release,B,200,200,199,1.0,5,0.997814416769435
qwen3-release,C,200,200,198,1.0,5,0.9941779134444324
qwen3-release,D,200,200,198,1.0,5,0.99617591822261
llama3.1-release,A,200,200,199,1.0,5,0.9972635906806762
llama3.1-release,B,200,200,198,1.0,5,0.9956772943138394
llama3.1-release,C,200,200,200,1.0,5,0.9973929348233708
llama3.1-release,D,200,200,199,1.0,5,0.996797869941217
