model,fold,n_prompts,bound_sample_hallucination_rate,ablation_sample_hallucination_rate,delta_sample_hallucination_rate,bound_package_hallucination_rate,ablation_package_hallucination_rate,delta_package_hallucination_rate,bound_sample_valid_rate,ablation_sample_valid_rate,delta_sample_valid_rate
deepseekcoder,A,100,0.22599999999999998,0.22,-0.006000000000000001,0.12278570885213856,0.115526341088597,-0.007259367763541557,0.796,0.8140000000000001,0.018000000000000002
deepseekcoder,B,100,0.39399999999999996,0.398,0.004,0.1963021693958914,0.1939026952290424,-0.002399474166848996,0.87,0.852,-0.018000000000000002
deepseekcoder,C,100,0.37999999999999984,0.36199999999999993,-0.018000000000000002,0.14170915662635858,0.14303320023317428,0.0013240436068156975,0.9359999999999999,0.932,-0.003999999999999998
deepseekcoder,D,100,0.44799999999999995,0.534,0.08599999999999998,0.18652152533007235,0.2594723394081772,0.07295081407810479,0.932,0.9060000000000001,-0.025999999999999995
qwen3-release,A,100,0.094,0.078,-0.016,0.04879978252741411,0.054735687257359084,0.0059359047299449765,0.86,0.8439999999999999,-0.016
qwen3-release,B,100,0.09000000000000002,0.09200000000000001,0.001999999999999999,0.061942884736999666,0.05461343476784653,-0.007329449969153137,0.54,0.5319999999999999,-0.007999999999999995
qwen3-release,C,100,0.18000000000000005,0.17600000000000002,-0.004000000000000003,0.10390383600064328,0.11636085844501794,0.01245702244437467,0.7020000000000002,0.6920000000000001,-0.01
qwen3-release,D,100,0.15600000000000003,0.13799999999999998,-0.018000000000000002,0.06600800157800828,0.0660061011397549,-1.9004382533738261e-06,0.8039999999999999,0.8000000000000002,-0.003999999999999999
llama3.1-release,A,100,0.612,0.768,0.156,0.24878833950912863,0.45875341292575333,0.20996507341662463,0.9620000000000001,0.826,-0.136
llama3.1-release,B,100,0.368,0.36200000000000004,-0.006000000000000001,0.22228207336893108,0.189365282754355,-0.03291679061457609,0.6560000000000001,0.6560000000000001,5.551115123125783e-19
llama3.1-release,C,100,0.53,0.518,-0.012000000000000009,0.2566741567584985,0.25190441589440965,-0.004769740864088857,0.926,0.9120000000000001,-0.013999999999999999
llama3.1-release,D,100,0.37000000000000005,0.5000000000000001,0.13,0.1537397253646296,0.2757016511043668,0.1219619257397372,0.914,0.852,-0.062
