model,fold,n_prompts,base_margin,bound_margin,delta_margin,delta_valid,delta_hallucinated,base_positive_fraction,bound_positive_fraction
deepseekcoder,A,52,-0.1517266508400796,0.405903415583151,0.5576300664232305,0.010528487795560622,-0.5471015786276701,0.5,0.6153846153846154
deepseekcoder,B,52,-0.1517266508400796,0.23599780654549807,0.38772445738557776,-0.17019933701170212,-0.5579237943972798,0.5,0.5384615384615384
deepseekcoder,C,52,-0.1517266508400796,0.45214521584590767,0.6038718666859871,-0.22522795971380535,-0.8290998263997926,0.5,0.6153846153846154
deepseekcoder,D,52,-0.1517266508400796,0.2744666915325682,0.4261933423726478,-0.5992741886148419,-1.0254675309874897,0.5,0.6153846153846154
qwen3-release,A,36,-0.7730845201583574,0.7500855402952841,1.5231700604536416,2.275362459324234,0.7521923988705921,0.5,0.7222222222222222
qwen3-release,B,36,-0.7730845201583574,0.5082937123454212,1.2813782325037788,2.0649810213730384,0.78360278886926,0.5,0.6111111111111112
qwen3-release,C,36,-0.7730845201583574,0.510661359039705,1.2837458791980625,2.3580995966971567,1.0743537174990938,0.5,0.6111111111111112
qwen3-release,D,36,-0.7730845201583574,0.6377390888085586,1.4108236089669162,2.272723771090264,0.8619001621233479,0.5,0.6944444444444444
llama3.1-release,A,65,-0.3335890446708237,0.8265120012082359,1.1601010458790595,-0.6445919956256627,-1.8046930415047224,0.5384615384615384,0.7692307692307693
llama3.1-release,B,65,-0.3335890446708237,0.6116149427174404,0.9452039873882642,-0.6382049763127746,-1.5834089637010391,0.5384615384615384,0.6615384615384615
llama3.1-release,C,65,-0.3335890446708237,0.7813830277024243,1.1149720723732481,-0.027498685418915925,-1.142470757792164,0.5384615384615384,0.7230769230769231
llama3.1-release,D,65,-0.3335890446708237,0.8211070564801115,1.1546961011509351,-0.32990538837586936,-1.4846014895268043,0.5384615384615384,0.7230769230769231
