model,fold,n_prompts,base_margin,bound_margin,delta_margin,delta_valid,delta_hallucinated,base_positive_fraction,bound_positive_fraction
deepseekcoder,A,53,-0.15322237909600778,0.33134632665082553,0.48456870574683336,0.003980095989112395,-0.4805886097577209,0.5094339622641509,0.6037735849056604
deepseekcoder,B,53,-0.15322237909600778,0.13141370361734486,0.2846360827133527,-0.17993133532884206,-0.46456741804219476,0.5094339622641509,0.5094339622641509
deepseekcoder,C,53,-0.15322237909600778,0.37213087325506317,0.5253532523510709,-0.24221729017405347,-0.7675705425251244,0.5094339622641509,0.6037735849056604
deepseekcoder,D,53,-0.15322237909600778,0.15786479238404072,0.31108717148004844,-0.5983935345693032,-0.9094807060493516,0.5094339622641509,0.5849056603773585
qwen3-release,A,39,-0.2454597521137795,0.6774865126079536,0.9229462647217331,2.1277601238230495,1.2048138591013167,0.5384615384615384,0.717948717948718
qwen3-release,B,39,-0.2454597521137795,0.5150065108620042,0.7604662629757838,1.9584623731885222,1.1979961102127386,0.5384615384615384,0.6410256410256411
qwen3-release,C,39,-0.2454597521137795,0.5557921784363324,0.801251930550112,2.22986251801964,1.4286105874695276,0.5384615384615384,0.6410256410256411
qwen3-release,D,39,-0.2454597521137795,0.5972585736127822,0.8427183257265616,2.1199649951115496,1.2772466693849875,0.5384615384615384,0.6923076923076923
llama3.1-release,A,67,-0.372058522219845,0.6386432809114797,1.0107018031313246,-0.7121864612568063,-1.722888264388131,0.5373134328358209,0.746268656716418
llama3.1-release,B,67,-0.372058522219845,0.513588166753552,0.8856466889733969,-0.6602479633174875,-1.5458946522908845,0.5373134328358209,0.6567164179104478
llama3.1-release,C,67,-0.372058522219845,0.5972309512135032,0.9692894734333481,-0.07192191763426127,-1.0412113910676095,0.5373134328358209,0.7014925373134329
llama3.1-release,D,67,-0.372058522219845,0.650810464673454,1.0228689868932992,-0.3711752557151724,-1.3940442426084716,0.5373134328358209,0.6865671641791045
