model,fold,n_prompts,base_margin,bound_margin,delta_margin,delta_valid,delta_hallucinated,base_positive_fraction,bound_positive_fraction
deepseekcoder,A,53,-0.6088117140053769,-0.059155942698383895,0.549655771306993,0.14055413819292228,-0.40910163311407066,0.4528301886792453,0.5283018867924528
deepseekcoder,B,53,-0.6088117140053769,-0.16628916428498824,0.44252254972038874,0.37785145684640825,-0.06467109287398037,0.4528301886792453,0.4716981132075472
deepseekcoder,C,53,-0.6088117140053769,-0.0734284011007882,0.5353833129045885,0.17762084967622171,-0.357762463228367,0.4528301886792453,0.4528301886792453
deepseekcoder,D,53,-0.6088117140053769,-0.27741726445530784,0.33139444955006914,-0.13643793887565292,-0.46783238842572195,0.4528301886792453,0.4716981132075472
qwen3-release,A,39,-1.641238487379033,-0.5533554870715629,1.0878830003074706,3.836325080342965,2.7484420800354945,0.41025641025641024,0.4358974358974359
qwen3-release,B,39,-1.641238487379033,-0.6520149016766515,0.9892235857023814,3.6196893092562172,2.6304657235538347,0.41025641025641024,0.48717948717948717
qwen3-release,C,39,-1.641238487379033,-0.6993361789516778,0.9419023084273552,3.8065988350716506,2.8646965266442956,0.41025641025641024,0.5641025641025641
qwen3-release,D,39,-1.641238487379033,-0.5973107287383786,1.0439277586406546,3.873734479657887,2.829806721017233,0.41025641025641024,0.5384615384615384
llama3.1-release,A,67,-0.7943150754300752,0.1881873516395209,0.9825024270695961,-0.4460574101192786,-1.4285598371888746,0.47761194029850745,0.6268656716417911
llama3.1-release,B,67,-0.7943150754300752,0.06720321697016597,0.8615182924002412,-0.41502607625223564,-1.2765443686524771,0.47761194029850745,0.582089552238806
llama3.1-release,C,67,-0.7943150754300752,0.15742467245934616,0.9517397478894213,0.13155258599614153,-0.8201871618932798,0.47761194029850745,0.6268656716417911
llama3.1-release,D,67,-0.7943150754300752,0.12870997091629763,0.923025046346373,-0.29215730030430354,-1.2151823466506764,0.47761194029850745,0.6119402985074627
