model,fold,n_prompts,base_margin,bound_margin,delta_margin,delta_valid,delta_hallucinated,base_positive_fraction,bound_positive_fraction
deepseekcoder,A,53,0.834963479459009,2.889227113562522,2.054263634103514,-0.1636146204268362,-2.21787825453035,0.5471698113207547,0.6792452830188679
deepseekcoder,B,53,0.834963479459009,2.414408677630579,1.5794451981715705,-0.8437954536603672,-2.423240651831938,0.5471698113207547,0.6415094339622641
deepseekcoder,C,53,0.834963479459009,3.0289970708572813,2.1940335913982723,-1.4640741809540425,-3.6581077723523143,0.5471698113207547,0.7169811320754716
deepseekcoder,D,53,0.834963479459009,2.3791204428618093,1.5441569634027998,-2.6450058908642915,-4.189162854267092,0.5471698113207547,0.6037735849056604
qwen3-release,A,39,3.4996098458474227,4.1842086046082905,0.6845987587608675,4.813728894266834,4.129130135505966,0.5897435897435898,0.7948717948717948
qwen3-release,B,39,3.4996098458474227,3.7721582831005027,0.2725484372530799,4.253208595466507,3.980660158213427,0.5897435897435898,0.7692307692307693
qwen3-release,C,39,3.4996098458474227,3.903451928277163,0.4038420824297403,4.986497158443465,4.582655076013725,0.5897435897435898,0.8205128205128205
qwen3-release,D,39,3.4996098458474227,4.211702627093484,0.7120927812460613,5.164699352282499,4.452606571036438,0.5897435897435898,0.8461538461538461
llama3.1-release,A,67,0.7900285103248442,4.058646666613048,3.2686181562882033,-2.088183124992988,-5.356801281281192,0.6268656716417911,0.7761194029850746
llama3.1-release,B,67,0.7900285103248442,3.4372932248392116,2.6472647145143675,-2.217753330218599,-4.865018044732966,0.6268656716417911,0.8059701492537313
llama3.1-release,C,67,0.7900285103248442,3.7701955873213158,2.9801670769964717,-0.6059626308039822,-3.5861297078004535,0.6268656716417911,0.7910447761194029
llama3.1-release,D,67,0.7900285103248442,4.123328625989045,3.3333001156642,-1.4556777039260276,-4.788977819590228,0.6268656716417911,0.7761194029850746
