model,fold,n_prompts,base_margin,bound_margin,delta_margin,delta_valid,delta_hallucinated,base_positive_fraction,bound_positive_fraction
deepseekcoder,A,52,-0.11144028801440269,0.42021658559563796,0.5316568736100404,0.010528487795560645,-0.52112838581448,0.5,0.6153846153846154
deepseekcoder,B,52,-0.11144028801440269,0.2538361442315419,0.3652764322459446,-0.17019933701170215,-0.5354757692576466,0.5,0.5384615384615384
deepseekcoder,C,52,-0.11144028801440269,0.44625673956988055,0.5576970275842831,-0.2252279597138053,-0.7829249872980886,0.5,0.6153846153846154
deepseekcoder,D,52,-0.11144028801440269,0.30229126602737966,0.41373155404178225,-0.599274188614842,-1.0130057426566241,0.5,0.5961538461538461
qwen3-release,A,35,-0.7704410200286139,0.5360387587647358,1.3064797787933498,2.319947549841669,1.0134677710483189,0.5142857142857142,0.7142857142857143
qwen3-release,B,35,-0.7704410200286139,0.30642201711918793,1.0768630371478018,2.1383426281325906,1.0614795909847885,0.5142857142857142,0.6
qwen3-release,C,35,-0.7704410200286139,0.3496549763629752,1.1200959963915893,2.437688639386379,1.31759264299479,0.5142857142857142,0.6
qwen3-release,D,35,-0.7704410200286139,0.4568596500165693,1.2273006700451832,2.336853268328879,1.1095525982836953,0.5142857142857142,0.6857142857142857
llama3.1-release,A,65,-0.2950298320636943,0.818426021036972,1.1134558531006666,-0.6445919956256627,-1.7580478487263291,0.5384615384615384,0.7692307692307693
llama3.1-release,B,65,-0.2950298320636943,0.6334719096106731,0.9285017416743672,-0.6382049763127746,-1.5667067179871421,0.5384615384615384,0.6615384615384615
llama3.1-release,C,65,-0.2950298320636943,0.8096125434127911,1.1046423754764854,-0.027498685418915918,-1.1321410608954012,0.5384615384615384,0.7230769230769231
llama3.1-release,D,65,-0.2950298320636943,0.855097804266708,1.1501276363304025,-0.32990538837586936,-1.4800330247062716,0.5384615384615384,0.7384615384615385
