model,fold,gpu,dinm_historical_localization_seconds,edit_seconds,eval_seconds,peak_edit_reserved_mib,n_edited_modules,n_trainable_adapter_parameters,adapter_bytes,adapter_sha256,dinm_report_sha256,edit_cases_sha256
deepseekcoder,A,1,0.89,46.82769846916199,967.7328314781189,13688.0,2,241664,485829,2871bd9bcb26bb90f80c042a0e6cfa746970b0c577866cba15bf56f2b804d081,56bbdbd2adfd03101244e95855214f8b449bca69fb1cb9bb539bc75cfd95568c,a15103c438f76b13d83303b1322c65117fa0afc1f6d8a54ad9e95c29e481f888
deepseekcoder,B,1,1.0,50.87673258781433,942.5284698009491,13846.0,2,241664,485829,4be444edf65129ce777df8e34f17b157b2e810da1856aa888acf38dd32ac3d41,043f070f825b4496fdca24edb18e944216b559af66425f4f0fb4c25050e087ac,ac85c959d3a111ce3efbef3791a5479dd253cdfe359e812f8d59c9a2656ffe50
deepseekcoder,C,1,0.94,49.71068239212036,1042.511566877365,13926.0,2,241664,485829,a06b85cc1cf368ee83898e9dddb6873f5c8d7a3e5f33cd7b98051ff9964cd5f7,ae77d3f6cbd63808d0bba9616cf3fd6d58a17746c63a2cf532d4557d98c87e6b,b94c1db6c7fbd3e7723d0c1156d0f090e316fb653fef9846b3990f6eac570b75
deepseekcoder,D,1,0.92,48.68496322631836,1000.3505606651306,14374.0,2,241664,485829,9d88ea73fd038ea3559ea26d947120c04d8595d8a9e83419e5e6cc2c280576fa,7cb928f159365d97bcda0192d2db4e4cdf17989ea5881fafcadb6b7c94d763c0,b0bd9c237bda0463e2fd94649c8bb83d70e6b40f675ad84991ab0a06e18dcf3c
qwen3-release,A,2,0.91,54.179344177246094,537.9699485301971,17882.0,1,131072,264069,92a44d888ba4407780eee1d7980378ce677942d34b9ffb886ef61e32a8c5ee19,c338ccdba3401016c39a010a8ff7986838f7888cc55d2646982a750fe8a0cec9,653ec931e3025aa8918062395d257cd0b373a903ed1339223e04333cef92c075
qwen3-release,B,2,0.98,50.83029627799988,406.61226081848145,17990.0,1,131072,264069,63fdd52a9a491fe8118051b1b234a5c92a188cf427fd4a0ff2fd7dfc460e8f55,4f171c742a6c1ee7f3adb48f1b2ab81327280d8ac4f2a26fc5dbd8a6b491bb13,185c6baf4cfac59550c883babecc5ec33b252d39df4ff7b86695a7cb6949ca6b
qwen3-release,C,2,0.87,51.92197918891907,478.9836404323578,17210.0,1,131072,264069,caa1942ef0214b146b61aa7076c0bec72d211dd9b4922ff1c50fd753e2679417,0ac574591509df1b9ce38905a8fc2b2dbc1e1358e2704d6bab41b9f62b4e5987,16711d82cb7784ed09063ed3185dee92312d2cf78c6d51eaf9b1171ded5762e7
qwen3-release,D,2,0.94,57.015522956848145,534.120236158371,17230.0,1,131072,264069,39935487f34f33066b502388660b9d67bdef9b3b932295654d047421519e6744,8ef466fff5f1c0cb04d6fc6360d003552464b5362541085e63d82c1d3ec23c6a,0f480fc1b97c873cc3e3859d3c7b5397ebe5e847773d3c28c292b1520afbea4f
llama3.1-release,A,3,0.93,52.791999101638794,1046.5872797966003,16958.0,1,147456,296837,e9997c40290f8a5be90bd05802be615f02c4cb4daa4922827fe430dcd802123f,c4c7dc17356a151264053fbdfd9226fd5a00d61d4c57b36e2614798f06a72769,fb3548e02d7c6bf00468d3e14a1fb44ae3bd66ed2c43d287c3ffb6aa9aeb4d63
llama3.1-release,B,3,0.89,53.26004219055176,791.1876683235168,16898.0,1,147456,296837,92a98dd85124e01c60c29b152a960a0e30cdaa36b9b7ff2a905da6d75329cb73,d7c540b42be6176631e0698b377a88d5f2167e6b6003196ca16f3a7c8e006167,bf8d72147786ac85b0d19c610039fea2c94f0a697a5fbaa329f3df95d0f943fd
llama3.1-release,C,3,0.96,55.740179777145386,911.1800291538239,17970.0,1,147456,296837,db87c2c58311cdffb035617b13bfc8f1fa6d65a331bdcd487b484f4d50b1c009,9b4a7b43b65e54d325cb90b73d75425235e9c3e48df6354a8b48c7f7d9732db8,15d0587f8b08ca9f4712109604ecdebeebf96af2c6da72654a30f64f1617cfdd
llama3.1-release,D,3,0.82,51.58828520774841,886.5109810829163,17260.0,1,147456,296837,ff006ffd707b71ea88e9130e79eccdc06356dad35042f5aa7ff0d97f68954631,55849b2a651320537a93b8dec2bbd42e0258db298aa37a6325dfee11e066e305,e10984a1c7a4b6cefe13809a467196e09441ee2a31a31cf9655ddf3c907eddd8
