model,fold,n_prompts,n_generations,selected_layers,n_modules,bound_sample_hallucination_rate,original_dinm_sample_hallucination_rate,hybrid_sample_hallucination_rate,delta_sample_hallucination_rate,bound_package_hallucination_rate,original_dinm_package_hallucination_rate,hybrid_package_hallucination_rate,delta_package_hallucination_rate,bound_sample_valid_rate,original_dinm_sample_valid_rate,hybrid_sample_valid_rate,delta_sample_valid_rate,bound_empty_rate,original_dinm_empty_rate,hybrid_empty_rate,delta_empty_rate
deepseekcoder,A,100,500,"28,30",2,0.22599999999999998,0.122,0.43,0.204,0.12278570885213856,0.14166786916786916,0.228497427188432,0.1057117183362935,0.796,0.142,0.7379999999999999,-0.05800000000000001,0.16399999999999998,0.828,0.18,0.016
deepseekcoder,B,100,500,"28,30",2,0.39399999999999996,0.25,0.47600000000000003,0.08199999999999999,0.1963021693958914,0.26263207625707624,0.2832635022337707,0.08696133283787941,0.87,0.33000000000000007,0.8039999999999999,-0.066,0.044000000000000004,0.596,0.034,-0.01
deepseekcoder,C,100,500,"28,30",2,0.37999999999999984,0.518,0.36200000000000004,-0.017999999999999995,0.14170915662635858,0.38433981228217495,0.24212073005067353,0.10041157342431493,0.9359999999999999,0.6359999999999999,0.5539999999999999,-0.382,0.044000000000000004,0.19199999999999995,0.358,0.31399999999999995
deepseekcoder,D,100,500,"28,30",2,0.44799999999999995,0.284,0.502,0.05400000000000001,0.18652152533007235,0.25706321456321457,0.2603744903277621,0.07385296499768974,0.932,0.344,0.838,-0.094,0.026000000000000002,0.584,0.036000000000000004,0.01
qwen3-release,A,100,500,34,1,0.094,0.772,0.262,0.168,0.04879978252741411,0.4372030208116832,0.23284610373286846,0.18404632120545433,0.86,0.7660000000000001,0.626,-0.23399999999999999,0.11600000000000002,0.03,0.278,0.16200000000000003
qwen3-release,B,100,500,34,1,0.09000000000000002,0.5820000000000001,0.146,0.05600000000000001,0.061942884736999666,0.4012285830079145,0.17711241536241534,0.11516953062541571,0.54,0.652,0.3500000000000001,-0.19,0.434,0.166,0.58,0.146
qwen3-release,C,100,500,34,1,0.18000000000000005,0.76,0.23,0.05000000000000001,0.10390383600064328,0.43219834802982965,0.25136301101998776,0.1474591750193445,0.7020000000000002,0.7680000000000001,0.47600000000000003,-0.226,0.28,0.03,0.42,0.14
qwen3-release,D,100,500,34,1,0.15600000000000003,0.8079999999999998,0.27799999999999997,0.12200000000000001,0.06600800157800828,0.4402603503194328,0.22155129446576813,0.15554329288775987,0.8039999999999999,0.79,0.616,-0.188,0.19,0.02,0.29000000000000004,0.1
llama3.1-release,A,100,500,31,1,0.612,0.008,0.5680000000000001,-0.044000000000000004,0.24878833950912863,0.04,0.32184544284073824,0.0730571033316096,0.9620000000000001,0.002,0.7539999999999999,-0.20800000000000002,0.008,0.99,0.15,0.142
llama3.1-release,B,100,500,31,1,0.368,0.008,0.36,-0.007999999999999997,0.22228207336893108,0.035,0.2383558837783445,0.016073810409413417,0.6560000000000001,0.07600000000000001,0.6,-0.055999999999999994,0.332,0.9159999999999999,0.31,-0.022000000000000002
llama3.1-release,C,100,500,31,1,0.53,0.044000000000000004,0.534,0.003999999999999989,0.2566741567584985,0.06401515151515151,0.28976603211619684,0.03309187535769826,0.926,0.29400000000000004,0.8220000000000001,-0.10400000000000001,0.018,0.6759999999999999,0.09999999999999998,0.08199999999999999
llama3.1-release,D,100,500,31,1,0.37000000000000005,0.064,0.5100000000000001,0.14,0.1537397253646296,0.06845238095238096,0.3588782426628857,0.205138517298256,0.914,0.6239999999999999,0.73,-0.184,0.038,0.37000000000000005,0.055999999999999994,0.017999999999999995
