model,fold,legacy_reported_modules,all_modules,legacy_unreported_modules,full_rank_spearman_lower_bound,full_rank_spearman_upper_bound
deepseekcoder,A,200,224,24,0.9872250693999576,0.9898537262438609
deepseekcoder,B,200,224,24,0.9811274823830879,0.9839419175742047
deepseekcoder,C,200,224,24,0.9643508434764042,0.9676393337604101
deepseekcoder,D,200,224,24,0.9826083707025414,0.9852327567798422
qwen3-release,A,200,252,52,0.9802963939461427,0.9980540851838272
qwen3-release,B,200,252,52,0.981238981585422,0.9988054557602455
qwen3-release,C,200,252,52,0.9795007809904744,0.9975816665579356
qwen3-release,D,200,252,52,0.9791633391148375,0.9973702029825363
llama3.1-release,A,200,224,24,0.985125987614777,0.9889152252829383
llama3.1-release,B,200,224,24,0.9857313687806963,0.9893754003843691
llama3.1-release,C,200,224,24,0.9752284860132395,0.9795003203074953
llama3.1-release,D,200,224,24,0.9849370061926117,0.9884443732650013
