model,fold,variant,top5_overlap,old_top200_spearman,right_censored_all_module_spearman,exact_full_rank_spearman,localization_seconds,model_load_seconds,timing_scope,selected_module_count,selected_module_jaccard,zero_score_module_count,n_unseen,sample_hr,package_hr,valid_rate,base_sample_hr,base_package_hr,base_valid_rate
deepseekcoder,A,first_token,0.8,0.985790144753619,0.9891468440420171,unavailable: legacy report truncated at 200,21.67,,historical subprocess including startup and model load,7,0.6666666666666666,unknown beyond top 200,541,0.22476894639556408,0.12271365084728685,0.8151571164510176,0.8288354898336456,0.43702585030098245,0.7992606284658043
deepseekcoder,A,full_sequence,0.8,0.985790144753619,0.9891468440420171,unavailable: legacy report truncated at 200,44.23747242242098,3.4266351433470845,new pure scoring; model load shown separately,8,0.6666666666666666,0,541,0.2524953789279114,0.12602127596238796,0.8606284658040675,0.8288354898336456,0.43702585030098245,0.7992606284658043
deepseekcoder,B,first_token,0.8,0.9775714392859823,0.983138456380204,unavailable: legacy report truncated at 200,22.41,,historical subprocess including startup and model load,7,0.875,unknown beyond top 200,541,0.4077634011090573,0.2061586173167067,0.8876155268022187,0.8288354898336456,0.43702585030098245,0.7992606284658043
deepseekcoder,B,full_sequence,0.8,0.9775714392859823,0.983138456380204,unavailable: legacy report truncated at 200,67.01615383382887,3.273736784234643,new pure scoring; model load shown separately,8,0.875,0,541,0.432532347504621,0.2190179195629584,0.881330868761553,0.8288354898336456,0.43702585030098245,0.7992606284658043
deepseekcoder,C,first_token,0.8,0.9551758793969851,0.9665886816168421,unavailable: legacy report truncated at 200,21.71,,historical subprocess including startup and model load,7,0.75,unknown beyond top 200,541,0.3726432532347502,0.14808082695203606,0.9168207024029582,0.8288354898336456,0.43702585030098245,0.7992606284658043
deepseekcoder,C,full_sequence,0.8,0.9551758793969851,0.9665886816168421,unavailable: legacy report truncated at 200,55.3118735216558,3.3978469585999846,new pure scoring; model load shown separately,7,0.75,0,541,0.36340110905730105,0.14177817935251721,0.9541589648798526,0.8288354898336456,0.43702585030098245,0.7992606284658043
deepseekcoder,D,first_token,0.8,0.9793024825620643,0.9845251717402741,unavailable: legacy report truncated at 200,20.79,,historical subprocess including startup and model load,7,0.6666666666666666,unknown beyond top 200,541,0.4794824399260627,0.20563965081909777,0.9441774491682073,0.8288354898336456,0.43702585030098245,0.7992606284658043
deepseekcoder,D,full_sequence,0.8,0.9793024825620643,0.9845251717402741,unavailable: legacy report truncated at 200,58.859090741723776,3.55585294123739,new pure scoring; model load shown separately,8,0.6666666666666666,0,541,0.5201478743068386,0.21878244729302465,0.947874306839187,0.8288354898336456,0.43702585030098245,0.7992606284658043
qwen3-release,A,first_token,0.8,0.9961374034350859,0.9935481472813822,unavailable: legacy report truncated at 200,26.24,,historical subprocess including startup and model load,9,0.6363636363636364,unknown beyond top 200,409,0.1193154034229829,0.07453884684484521,0.8650366748166266,0.889975550122251,0.45278529574486703,0.7990220048899758
qwen3-release,A,full_sequence,0.8,0.9961374034350859,0.9935481472813822,unavailable: legacy report truncated at 200,74.27004512492567,3.8477352438494563,new pure scoring; model load shown separately,9,0.6363636363636364,0,409,0.09975550122249384,0.0665407042296118,0.9100244498777508,0.889975550122251,0.45278529574486703,0.7990220048899758
qwen3-release,B,first_token,1.0,0.9976104402610068,0.994398870681777,unavailable: legacy report truncated at 200,25.43,,historical subprocess including startup and model load,9,1.0,unknown beyond top 200,409,0.10220048899755502,0.07991807507143754,0.5569682151589241,0.889975550122251,0.45278529574486703,0.7990220048899758
qwen3-release,B,full_sequence,1.0,0.9976104402610068,0.994398870681777,unavailable: legacy report truncated at 200,40.40727530606091,3.5572327878326178,new pure scoring; model load shown separately,9,1.0,0,409,0.10220048899755502,0.07991807507143754,0.5569682151589241,0.889975550122251,0.45278529574486703,0.7990220048899758
qwen3-release,C,first_token,0.8,0.9952523813095329,0.9929113286580675,unavailable: legacy report truncated at 200,24.75,,historical subprocess including startup and model load,9,0.6363636363636364,unknown beyond top 200,409,0.21809290953545232,0.12056191710661822,0.7232273838630806,0.889975550122251,0.45278529574486703,0.7990220048899758
qwen3-release,C,full_sequence,0.8,0.9952523813095329,0.9929113286580675,unavailable: legacy report truncated at 200,55.46091920975596,3.5027782507240772,new pure scoring; model load shown separately,9,0.6363636363636364,0,409,0.21613691931540352,0.12122361005669276,0.7075794621026895,0.889975550122251,0.45278529574486703,0.7990220048899758
qwen3-release,D,first_token,0.8,0.9948728718217956,0.9926356626425346,unavailable: legacy report truncated at 200,25.02,,historical subprocess including startup and model load,9,0.6363636363636364,unknown beyond top 200,409,0.19853300733496332,0.09595381763559677,0.8283618581907091,0.889975550122251,0.45278529574486703,0.7990220048899758
qwen3-release,D,full_sequence,0.8,0.9948728718217956,0.9926356626425346,unavailable: legacy report truncated at 200,62.587804987095296,3.5113633796572685,new pure scoring; model load shown separately,9,0.6363636363636364,0,409,0.1858190709046455,0.09401907065757446,0.7892420537897311,0.889975550122251,0.45278529574486703,0.7990220048899758
llama3.1-release,A,first_token,1.0,0.9870201755043877,0.987627119388936,unavailable: legacy report truncated at 200,24.64,,historical subprocess including startup and model load,7,1.0,unknown beyond top 200,934,0.34047109207708665,0.16929787937903312,0.7922912205567451,0.832548179871521,0.4277786858502079,0.8194860813704496
llama3.1-release,A,full_sequence,1.0,0.9870201755043877,0.987627119388936,unavailable: legacy report truncated at 200,105.72983762808144,3.874829069711268,new pure scoring; model load shown separately,7,1.0,0,934,0.34047109207708665,0.16929787937903312,0.7922912205567451,0.832548179871521,0.4277786858502079,0.8194860813704496
llama3.1-release,B,first_token,1.0,0.9868071701792545,0.9881602249087162,unavailable: legacy report truncated at 200,24.8,,historical subprocess including startup and model load,7,1.0,unknown beyond top 200,934,0.3779443254817981,0.22296089125507518,0.6610278372591006,0.832548179871521,0.4277786858502079,0.8194860813704496
