model,method,fold,generation_id,prompt_id,import_path,top_level,kind,line
deepseekcoder,Base,A,270__repeat_1,270,requests,requests,absolute,1
deepseekcoder,Base,A,270__repeat_1,270,pandas,pandas,absolute,2
deepseekcoder,Base,A,270__repeat_1,270,matplotlib.pyplot,matplotlib,absolute,3
deepseekcoder,Base,A,270__repeat_2,270,requests,requests,absolute,1
deepseekcoder,Base,A,270__repeat_2,270,pandas,pandas,absolute,2
deepseekcoder,Base,A,270__repeat_2,270,matplotlib.pyplot,matplotlib,absolute,3
deepseekcoder,Base,A,270__repeat_3,270,requests,requests,absolute,1
deepseekcoder,Base,A,270__repeat_3,270,pandas,pandas,absolute,2
deepseekcoder,Base,A,270__repeat_3,270,matplotlib.pyplot,matplotlib,absolute,3
deepseekcoder,Base,A,270__repeat_3,270,buildkite_api,buildkite_api,absolute,4
deepseekcoder,Base,A,270__repeat_4,270,os,os,standard_library,1
deepseekcoder,Base,A,270__repeat_4,270,requests,requests,absolute,2
deepseekcoder,Base,A,270__repeat_4,270,pandas,pandas,absolute,3
deepseekcoder,Base,A,270__repeat_4,270,matplotlib.pyplot,matplotlib,absolute,4
deepseekcoder,Base,A,270__repeat_5,270,requests,requests,absolute,1
deepseekcoder,Base,A,270__repeat_5,270,pandas,pandas,absolute,2
deepseekcoder,Base,A,270__repeat_5,270,matplotlib.pyplot,matplotlib,absolute,3
deepseekcoder,Base,A,270__repeat_5,270,seaborn,seaborn,absolute,4
deepseekcoder,Base,A,4126__repeat_1,4126,pysip,pysip,absolute,1
deepseekcoder,Base,A,4126__repeat_1,4126,pyroute,pyroute,absolute,2
deepseekcoder,Base,A,4126__repeat_1,4126,pyrtp,pyrtp,absolute,3
deepseekcoder,Base,A,4126__repeat_2,4126,pysip,pysip,absolute,1
deepseekcoder,Base,A,4126__repeat_3,4126,twilio.rest,twilio,absolute,1
deepseekcoder,Base,A,4126__repeat_4,4126,twisted.internet.protocol,twisted,absolute,1
deepseekcoder,Base,A,4126__repeat_4,4126,twisted.internet,twisted,absolute,2
deepseekcoder,Base,A,4126__repeat_5,4126,sip4py.sip,sip4py,absolute,1
deepseekcoder,Base,A,4126__repeat_5,4126,pjsua,pjsua,absolute,2
deepseekcoder,Base,A,2845__repeat_1,2845,pylabelstudio,pylabelstudio,absolute,1
deepseekcoder,Base,A,2845__repeat_2,2845,PyQt5.QtWidgets,PyQt5,absolute,1
deepseekcoder,Base,A,2845__repeat_2,2845,pylabelstudio,pylabelstudio,absolute,2
deepseekcoder,Base,A,2845__repeat_3,2845,pylabelstudio,pylabelstudio,absolute,1
deepseekcoder,Base,A,2845__repeat_3,2845,PyQt5.QtWidgets,PyQt5,absolute,2
deepseekcoder,Base,A,2845__repeat_3,2845,subprocess,subprocess,standard_library,3
deepseekcoder,Base,A,2845__repeat_3,2845,os,os,standard_library,4
deepseekcoder,Base,A,2845__repeat_4,2845,pylabelstudio,pylabelstudio,absolute,1
deepseekcoder,Base,A,2845__repeat_4,2845,pylabelstudio,pylabelstudio,absolute,2
deepseekcoder,Base,A,2845__repeat_4,2845,pylabelstudio,pylabelstudio,absolute,3
deepseekcoder,Base,A,2845__repeat_4,2845,pylabelstudio,pylabelstudio,absolute,4
deepseekcoder,Base,A,2845__repeat_5,2845,pylabelstudio,pylabelstudio,absolute,1
deepseekcoder,Base,A,2845__repeat_5,2845,pylabelstudio.widgets,pylabelstudio,absolute,2
deepseekcoder,Base,A,782__repeat_1,782,ibm_cloud_sdk_core.authenticators,ibm_cloud_sdk_core,absolute,1
