import_path,top_level,status,distributions,evidence,evidence_type
AVFoundation,AVFoundation,unknown,[],,no_independent_evidence
AccessControl,AccessControl,unknown,[],,no_independent_evidence
Accessibility,Accessibility,unknown,[],,no_independent_evidence
Acquisition,Acquisition,unknown,[],,no_independent_evidence
AppKit,AppKit,unknown,[],,no_independent_evidence
AppleScriptObjC,AppleScriptObjC,unknown,[],,no_independent_evidence
Bio,Bio,unknown,[],,no_independent_evidence
Bio.Align,Bio,unknown,[],,no_independent_evidence
Bio.Phylo,Bio,unknown,[],,no_independent_evidence
Bio.Phylo.TreeConstruction,Bio,unknown,[],,no_independent_evidence
Bio.Seq,Bio,unknown,[],,no_independent_evidence
Bio.SeqFeature,Bio,unknown,[],,no_independent_evidence
Bio.SeqRecord,Bio,unknown,[],,no_independent_evidence
Bio.bgzip,Bio,unknown,[],,no_independent_evidence
BusinessChat,BusinessChat,unknown,[],,no_independent_evidence
BusinessChat.Chat,BusinessChat,unknown,[],,no_independent_evidence
BusinessChat.Client,BusinessChat,unknown,[],,no_independent_evidence
CamSdk,CamSdk,unknown,[],,no_independent_evidence
Camsdk,Camsdk,unknown,[],,no_independent_evidence
Chat,Chat,unknown,[],,no_independent_evidence
Cocoa,Cocoa,unknown,[],,no_independent_evidence
ConfigCat,ConfigCat,unknown,[],,no_independent_evidence
ConfigCat.NET,ConfigCat,unknown,[],,no_independent_evidence
ConfigCatClient,ConfigCatClient,unknown,[],,no_independent_evidence
ConfigParser,ConfigParser,unknown,[],,no_independent_evidence
Conversation,Conversation,unknown,[],,no_independent_evidence
CoreFoundation,CoreFoundation,unknown,[],,no_independent_evidence
CoreGraphics,CoreGraphics,unknown,[],,no_independent_evidence
CoreImage,CoreImage,unknown,[],,no_independent_evidence
CoreMIDI,CoreMIDI,unknown,[],,no_independent_evidence
CoreMedia,CoreMedia,unknown,[],,no_independent_evidence
CoreServices,CoreServices,unknown,[],,no_independent_evidence
CoreVideo,CoreVideo,unknown,[],,no_independent_evidence
Crypto,Crypto,unknown,[],,no_independent_evidence
Crypto.Cipher,Crypto,unknown,[],,no_independent_evidence
Crypto.Random,Crypto,unknown,[],,no_independent_evidence
Crypto.Util.Padding,Crypto,unknown,[],,no_independent_evidence
CyBox,CyBox,unknown,[],,no_independent_evidence
CyBox.Core,CyBox,unknown,[],,no_independent_evidence
CyBox.Objects,CyBox,unknown,[],,no_independent_evidence
Cython,Cython,resolved,"[""cython""]",https://files.pythonhosted.org/packages/bf/77/67b0b24e45073a699610e50f00c18474ff9b09ea29ecc95083bdf5e60acd/cython-3.3.0-py3-none-any.whl#sha256=9b24b5c8cd536946b62086fcafee6d5509d3f549f72d553d2336af87ffbe0da1,file_metadata_exact
Cython.Build,Cython,resolved,"[""cython""]",https://files.pythonhosted.org/packages/bf/77/67b0b24e45073a699610e50f00c18474ff9b09ea29ecc95083bdf5e60acd/cython-3.3.0-py3-none-any.whl#sha256=9b24b5c8cd536946b62086fcafee6d5509d3f549f72d553d2336af87ffbe0da1,file_metadata_exact
Foundation,Foundation,unknown,[],,no_independent_evidence
GenesysCloudAPI,GenesysCloudAPI,unknown,[],,no_independent_evidence
GenesysCloudAPI.config,GenesysCloudAPI,unknown,[],,no_independent_evidence
