model,method,fold,generation_id,prompt_id,ast_status,ast_error,code_sha256,archived_code_block_match,ast_import_count,mapper_input,mapper_output,original_valid,original_hallucinated
deepseekcoder,Base,A,270__repeat_1,270,ast_ok,,f6d9ebf42bdb7bb9b767ed81433ee93087d94f9acf67d75b36028dad51483d8f,True,3,"[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]",[]
deepseekcoder,Base,A,270__repeat_2,270,ast_ok,,d3a0796ed217bff74e960fd82087f39d9b618384e0e571591802da4b4275ffdf,True,3,"[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]",[]
deepseekcoder,Base,A,270__repeat_3,270,ast_ok,,93c8b4f2d4456e28d665e854eb1fa0d1c15dbf71020f4738224eb6e12f472df3,True,4,"[""buildkite_api"", ""matplotlib"", ""pandas"", ""requests""]","[""buildkite-api"", ""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]","[""buildkite-api""]"
deepseekcoder,Base,A,270__repeat_4,270,ast_ok,,ba95cd820a4234e665010036d2259cf3c8d2a610beba84f547c9185700430f2e,True,4,"[""matplotlib"", ""os"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]",[]
deepseekcoder,Base,A,270__repeat_5,270,ast_ok,,26233dc556a9bedc79f28bfa1431d9568c04879f1dcfde39a6f350a9be86af30,True,4,"[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]","[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]","[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]",[]
deepseekcoder,Base,A,4126__repeat_1,4126,ast_ok,,62bc7f10ae0273eabf4ebc981de1e0fdb155555095249011ba696bb806ee90ec,True,3,"[""pyroute"", ""pyrtp"", ""pysip""]","[""pyroute"", ""pyroute2"", ""pysip"", ""python-rtp""]","[""pyroute2"", ""pysip""]","[""pyroute"", ""python-rtp""]"
deepseekcoder,Base,A,4126__repeat_2,4126,ast_ok,,394f88a1bd9af513d2c804800de9c3a765dcdeca0fda4684e686cdc919551d49,True,1,"[""pysip""]","[""pysip""]","[""pysip""]",[]
deepseekcoder,Base,A,4126__repeat_3,4126,ast_ok,,5b02605b85d5aaee4f109841c24d6e65089d0ae5636fb2f82b8135955c50c410,True,1,"[""twilio""]","[""twilio""]","[""twilio""]",[]
deepseekcoder,Base,A,4126__repeat_4,4126,ast_ok,,9e9859c1435bbfc59280b388f23a9291d7c16cd96af230a3ab8b493daf5a3c05,True,2,"[""twisted""]","[""twisted""]","[""twisted""]",[]
deepseekcoder,Base,A,4126__repeat_5,4126,ast_ok,,9122055db2c47dfbae09a3266fd8649e821344e48ea0cc425f135a47d6f48af7,True,2,"[""pjsua"", ""sip4py""]","[""pjsua"", ""sip4py""]",[],"[""pjsua"", ""sip4py""]"
