import_path,answer_occurrences,status,candidate_distributions,evidence,example_generations,human_decision,human_evidence
opentelemetry,493,ambiguous_namespace,"[""opentelemetry-api"", ""opentelemetry-exporter-otlp"", ""opentelemetry-exporter-otlp-proto-common"", ""opentelemetry-exporter-otlp-proto-grpc"", ""opentelemetry-exporter-otlp-proto-http"", ""opentelemetry-proto"", ""opentelemetry-sdk"", ""opentelemetry-semantic-conventions"", ""opentelemetry-semantic-conventions-ai""]",/home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | https://files.pythonhosted.org/packages/89/fb/b3c4750238c1c9686de37d3912357c9b94286b64fe594404a39908064f78/opentelemetry_exporter_otlp-1.45.0-py3-none-any.whl#sha256=3de9a5b18648dc124c751f547d8c7a93b177ddae552566981a792d18a063145c,deepseekcoder/Base/A/88__repeat_1 | deepseekcoder/Base/A/88__repeat_2 | deepseekcoder/Base/A/88__repeat_3,,
kafka,169,ambiguous_namespace,"[""kafka"", ""kafka-python""]",https://files.pythonhosted.org/packages/21/71/73286e748ac5045b6a669c2fe44b03ac4c5d3d2af9291c4c6fc76438a9a9/kafka-1.3.5-py2.py3-none-any.whl#sha256=35a49e9a432f6792aad48b2ab09d03867357aaa06eacba2678b7fd0808156e5c | https://files.pythonhosted.org/packages/d7/9a/191343fd96564cbbed51bd33a53c08144e1ce285e2f10fb1578899e86c28/kafka_python-3.0.11-py3-none-any.whl#sha256=9d10cab4e11e02545d82c7e5af5702da5aa46dd4eccd11ad92a50bf6dbbecd14,deepseekcoder/Base/A/2609__repeat_1 | deepseekcoder/Base/A/2609__repeat_2 | deepseekcoder/Base/A/2609__repeat_3,,
pypariql,166,unknown,[],,deepseekcoder/Base/A/84__repeat_1 | deepseekcoder/Base/A/84__repeat_2 | deepseekcoder/Base/A/84__repeat_3,,
fastapi_prometheus,143,unknown,[],,deepseekcoder/Base/A/241__repeat_1 | deepseekcoder/Base/A/241__repeat_3 | deepseekcoder/Base/A/241__repeat_4,,
kafka.errors,131,ambiguous_namespace,"[""kafka"", ""kafka-python""]",https://files.pythonhosted.org/packages/21/71/73286e748ac5045b6a669c2fe44b03ac4c5d3d2af9291c4c6fc76438a9a9/kafka-1.3.5-py2.py3-none-any.whl#sha256=35a49e9a432f6792aad48b2ab09d03867357aaa06eacba2678b7fd0808156e5c | https://files.pythonhosted.org/packages/d7/9a/191343fd96564cbbed51bd33a53c08144e1ce285e2f10fb1578899e86c28/kafka_python-3.0.11-py3-none-any.whl#sha256=9d10cab4e11e02545d82c7e5af5702da5aa46dd4eccd11ad92a50bf6dbbecd14,deepseekcoder/Base/A/2609__repeat_1 | deepseekcoder/Base/A/2609__repeat_2 | deepseekcoder/Base/A/2609__repeat_3,,
sigsep_mus,123,unknown,[],,deepseekcoder/Base/A/2465__repeat_2 | deepseekcoder/Base/A/2465__repeat_3 | deepseekcoder/Base/A/2465__repeat_4,,
luco,114,unknown,[],,qwen3/Base/A/136__repeat_1 | qwen3/Base/A/136__repeat_2 | qwen3/Base/A/136__repeat_3,,
vips,109,unknown,[],,deepseekcoder/Base/A/3359__repeat_2 | deepseekcoder/Base/A/3359__repeat_4 | deepseekcoder/Base/A/3359__repeat_5,,
openstack,95,unknown,[],,deepseekcoder/Base/A/4699__repeat_1 | deepseekcoder/Base/A/4699__repeat_2 | deepseekcoder/Base/A/4699__repeat_3,,
pyspark.sql,94,unknown,[],,deepseekcoder/Base/A/1424__repeat_1 | deepseekcoder/Base/A/1424__repeat_2 | deepseekcoder/Base/A/1424__repeat_4,,
dxpy,89,unknown,[],,deepseekcoder/Base/A/1366__repeat_1 | deepseekcoder/Base/A/1366__repeat_2 | deepseekcoder/Base/A/1366__repeat_3,,
rosbag,89,unknown,[],,deepseekcoder/Base/A/4525__repeat_1 | deepseekcoder/Base/A/4525__repeat_2 | deepseekcoder/Base/A/4525__repeat_3,,
aws_retry,89,unknown,[],,deepseekcoder/Base/A/2480__repeat_1 | deepseekcoder/Base/A/2480__repeat_2 | deepseekcoder/Base/A/2480__repeat_3,,
nmap,89,unknown,[],,deepseekcoder/Base/A/3562__repeat_1 | deepseekcoder/Base/A/3562__repeat_2 | deepseekcoder/Base/A/3562__repeat_3,,
