model,method,fold,generation_id,parso_count,tokenizer_count,extra_vs_tokenizer,missing_vs_tokenizer,rejected_import_nodes,boundary_rejected_nodes,parser_error
deepseekcoder,Base,A,2000__repeat_2,0,0,[],[],0,0,
deepseekcoder,Base,A,2431__repeat_1,1,1,[],[],0,0,
deepseekcoder,Base,A,1178__repeat_2,3,3,[],[],0,0,
deepseekcoder,Base,A,1178__repeat_3,3,3,[],[],0,0,
deepseekcoder,Base,A,1178__repeat_4,4,4,[],[],0,0,
deepseekcoder,Base,A,1947__repeat_2,1,1,[],[],0,0,
deepseekcoder,Base,A,1947__repeat_4,3,2,"[[""hangul_"", ""hangul_"", ""absolute""]]",[],0,0,
deepseekcoder,Base,A,1767__repeat_1,0,0,[],[],0,0,
deepseekcoder,Base,A,1424__repeat_2,4,4,[],[],0,0,
deepseekcoder,Base,A,1085__repeat_1,6,6,[],[],0,0,
deepseekcoder,Base,A,1085__repeat_2,14,14,[],[],0,0,
deepseekcoder,Base,A,1085__repeat_3,6,6,[],[],0,0,
deepseekcoder,Base,A,1085__repeat_5,5,5,[],[],0,0,
deepseekcoder,Base,A,4720__repeat_3,0,0,[],[],0,0,
deepseekcoder,Base,A,1871__repeat_5,1,1,[],[],0,0,
deepseekcoder,Base,A,4863__repeat_2,2,2,[],[],0,0,
deepseekcoder,Base,A,4809__repeat_5,3,3,[],[],0,0,
deepseekcoder,Base,A,3994__repeat_2,3,3,[],[],0,0,
deepseekcoder,Base,A,1217__repeat_3,3,3,[],[],0,0,
deepseekcoder,Base,A,3916__repeat_1,0,0,[],[],0,0,
deepseekcoder,Base,A,3916__repeat_2,0,0,[],[],0,0,
deepseekcoder,Base,A,3916__repeat_4,0,0,[],[],0,0,
deepseekcoder,Base,A,84__repeat_4,1,1,[],[],0,0,
deepseekcoder,Base,A,1683__repeat_3,1,1,[],[],0,0,
deepseekcoder,Base,A,2222__repeat_1,4,4,[],[],0,0,
deepseekcoder,Base,A,1645__repeat_2,1,1,[],[],0,0,
deepseekcoder,Base,A,2882__repeat_1,3,3,[],[],0,0,
deepseekcoder,Base,A,2882__repeat_2,5,5,[],[],0,0,
deepseekcoder,Base,A,2882__repeat_4,1,1,[],[],0,0,
deepseekcoder,Base,A,1020__repeat_4,1,1,[],[],0,0,
deepseekcoder,Base,A,4521__repeat_3,1,1,[],[],0,0,
deepseekcoder,Base,A,2026__repeat_2,0,0,[],[],0,0,
