model,method,fold,generation_id,prompt_id,import_path,top_level,kind,line,extraction
deepseekcoder,Base,A,2431__repeat_1,2431,platform_detect,platform_detect,absolute,3,partial_line_ast
deepseekcoder,Base,A,1178__repeat_2,1178,pyVim.connect,pyVim,absolute,1,partial_line_ast
deepseekcoder,Base,A,1178__repeat_2,1178,pyVmomi,pyVmomi,absolute,2,partial_line_ast
deepseekcoder,Base,A,1178__repeat_2,1178,ssl,ssl,standard_library,3,partial_line_ast
deepseekcoder,Base,A,1178__repeat_3,1178,vmware.vapi.vsphere.client,vmware,absolute,3,partial_line_ast
deepseekcoder,Base,A,1178__repeat_3,1178,com.vmware.vcenter.VM,com,absolute,4,partial_line_ast
deepseekcoder,Base,A,1178__repeat_3,1178,com.vmware.vcenter,com,absolute,5,partial_line_ast
deepseekcoder,Base,A,1178__repeat_4,1178,ssl,ssl,standard_library,1,partial_line_ast
deepseekcoder,Base,A,1178__repeat_4,1178,urllib3,urllib3,absolute,2,partial_line_ast
deepseekcoder,Base,A,1178__repeat_4,1178,vmware.vapi.vsphere.client,vmware,absolute,3,partial_line_ast
deepseekcoder,Base,A,1178__repeat_4,1178,com.vmware.vapi.stdlib.client,com,absolute,4,partial_line_ast
deepseekcoder,Base,A,1947__repeat_2,1947,hangul_utils,hangul_utils,absolute,3,partial_line_ast
deepseekcoder,Base,A,1947__repeat_4,1947,sys,sys,standard_library,1,partial_line_ast
deepseekcoder,Base,A,1947__repeat_4,1947,jamo,jamo,absolute,3,partial_line_ast
deepseekcoder,Base,A,1424__repeat_2,1424,pyspark.sql,pyspark,absolute,1,partial_line_ast
deepseekcoder,Base,A,1424__repeat_2,1424,h3ronpy,h3ronpy,absolute,2,partial_line_ast
deepseekcoder,Base,A,1424__repeat_2,1424,pyspark.sql.functions,pyspark,absolute,3,partial_line_ast
deepseekcoder,Base,A,1424__repeat_2,1424,pyspark.sql.types,pyspark,absolute,4,partial_line_ast
deepseekcoder,Base,A,1085__repeat_1,1085,os,os,standard_library,1,partial_line_ast
deepseekcoder,Base,A,1085__repeat_1,1085,re,re,standard_library,2,partial_line_ast
deepseekcoder,Base,A,1085__repeat_1,1085,mkdocs.utils,mkdocs,absolute,3,partial_line_ast
deepseekcoder,Base,A,1085__repeat_1,1085,mkdocs.config,mkdocs,absolute,4,partial_line_ast
deepseekcoder,Base,A,1085__repeat_1,1085,mkdocs.commands.build,mkdocs,absolute,5,partial_line_ast
deepseekcoder,Base,A,1085__repeat_1,1085,mkdocs.exceptions,mkdocs,absolute,6,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs,mkdocs,absolute,1,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.config.base,mkdocs,absolute,2,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.commands.build,mkdocs,absolute,3,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.commands.serve,mkdocs,absolute,4,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.commands.gh_deploy,mkdocs,absolute,5,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.commands.new,mkdocs,absolute,6,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.plugins,mkdocs,absolute,7,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.structure.files,mkdocs,absolute,8,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.structure.pages,mkdocs,absolute,9,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.utils,mkdocs,absolute,10,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.config.config_options,mkdocs,absolute,11,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.commands.build,mkdocs,absolute,13,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.config.base,mkdocs,absolute,14,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.structure.files,mkdocs,absolute,15,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs.structure.pages,mkdocs,absolute,16,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,pymdownx.superfences,pymdownx,absolute,18,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,mkdocs_mermaid2_plugin,mkdocs_mermaid2_plugin,absolute,19,partial_line_ast
deepseekcoder,Base,A,1085__repeat_2,1085,subprocess,subprocess,standard_library,21,partial_line_ast
deepseekcoder,Base,A,1085__repeat_3,1085,os,os,standard_library,1,partial_line_ast
deepseekcoder,Base,A,1085__repeat_3,1085,re,re,standard_library,2,partial_line_ast
deepseekcoder,Base,A,1085__repeat_3,1085,subprocess,subprocess,standard_library,3,partial_line_ast
deepseekcoder,Base,A,1085__repeat_3,1085,tempfile,tempfile,standard_library,4,partial_line_ast
deepseekcoder,Base,A,1085__repeat_3,1085,mkdocs.plugins,mkdocs,absolute,5,partial_line_ast
deepseekcoder,Base,A,1085__repeat_3,1085,mkdocs.config,mkdocs,absolute,6,partial_line_ast
deepseekcoder,Base,A,1085__repeat_5,1085,os,os,standard_library,1,partial_line_ast
deepseekcoder,Base,A,1085__repeat_5,1085,re,re,standard_library,2,partial_line_ast
deepseekcoder,Base,A,1085__repeat_5,1085,subprocess,subprocess,standard_library,3,partial_line_ast
