model,method,folds,n_per_fold,ast_failure_per_fold,unknown_answers_per_fold,archived_sample_hr,archived_package_hr,archived_valid_rate,audited_sample_hr_lower,audited_sample_hr_upper,audited_sample_hr_tokenizer_scenario_upper,audited_package_hr_one_slot_min,audited_package_hr_one_slot_max,audited_valid_rate_lower,audited_valid_rate_upper,audited_valid_rate_tokenizer_scenario_upper
deepseekcoder,BOUND,4,500,36.5,213.5,0.326,0.25424997434749,0.6415,0.005,0.48,0.434,0.002902816082115124,0.398221231739646,0.69,0.9395,0.911
deepseekcoder,Base,1,500,49.0,220.0,0.342,0.26425591098748263,0.642,0.012,0.514,0.45,0.007159904534606206,0.41646778042959426,0.674,0.94,0.908
deepseekcoder,DINM,4,500,169.5,194.75,0.3105,0.27138884884779135,0.5655,0.007,0.6225,0.488,0.004732197460750628,0.3957656761634841,0.6154999999999999,0.958,0.915
deepseekcoder,Full-FT,4,500,26.25,233.0,0.354,0.27294791905160354,0.6385000000000001,0.006,0.5055000000000001,0.471,0.003149781418375208,0.42742974302211806,0.7135,0.95,0.931
deepseekcoder,MEMIT,4,500,52.5,218.75,0.355,0.27578693248663166,0.6214999999999999,0.0085,0.512,0.4485,0.005146036762113063,0.4018342370850752,0.678,0.9380000000000001,0.906
deepseekcoder,ROME,4,500,385.25,55.0,0.085,0.06707317073170732,0.151,0.002,0.874,0.765,0.0012626262626262627,0.1019570707070707,0.1645,0.9795,0.878
llama3.1,BOUND,4,500,50.5,194.5,0.3085,0.20704670403177844,0.7164999999999999,0.006500000000000001,0.469,0.404,0.0030905376633270643,0.39943461748970077,0.7,0.887,0.8745
llama3.1,Base,1,500,45.0,210.0,0.338,0.24246079613992763,0.694,0.014,0.504,0.442,0.007352941176470588,0.36659663865546216,0.666,0.908,0.902
llama3.1,DINM,4,500,489.0,12.25,0.0095,0.13524590163934427,0.0115,0.0,0.9815,0.908,0.0,0.8236301369863014,0.008,0.9824999999999999,0.9095
llama3.1,Full-FT,4,500,38.25,0.25,0.0,0.0,0.0005,0.0,0.0765,0.0075,0.0,0.08333333333333333,0.0005,0.0765,0.0075
llama3.1,MEMIT,4,500,44.25,214.5,0.3355,0.2319052352197609,0.689,0.01,0.505,0.444,0.005206275256706724,0.3665104947492662,0.6675,0.9015,0.8965000000000001
llama3.1,ROME,4,500,500.0,0.25,0.0,0.0,0.0,0.0,1.0,0.7085,0.0,0.25,0.0,1.0,0.7085
qwen3,BOUND,4,500,104.75,211.25,0.3385,0.22368826095122168,0.5815,0.0,0.54,0.453,0.0,0.3961915815002518,0.6859999999999999,0.8985000000000001,0.898
qwen3,Base,1,500,27.0,237.0,0.37,0.2784992784992785,0.55,0.002,0.516,0.48,0.0011682242990654205,0.4310747663551402,0.616,0.884,0.882
qwen3,DINM,4,500,60.25,207.25,0.32299999999999995,0.2681707262742222,0.482,0.0025,0.5075000000000001,0.461,0.0015323176313538182,0.41412786185502165,0.5405,0.841,0.814
qwen3,Full-FT,4,500,73.5,87.25,0.093,0.10941485787911594,0.32,0.0,0.278,0.1815,0.0,0.2649075591358838,0.307,0.41,0.3795
qwen3,MEMIT,4,500,21.5,226.5,0.364,0.2828571275909928,0.52,0.003,0.4825,0.4595,0.0017714129453322435,0.4305029056781149,0.588,0.8625,0.8594999999999999
qwen3,ROME,4,500,295.25,56.25,0.0935,0.07148148148148148,0.1325,0.0005,0.698,0.5395,0.0003094059405940594,0.10334158415841584,0.148,0.7975,0.6425
