model,method,fold,n,ast_failure,tokenizer_error,ast_failure_no_import_complete_tokenization,mapping_known,mapping_correct,label_known,label_agree,unknown_answers,known_valid_packages,known_hall_packages,unknown_package_slots,archived_sample_hr,archived_package_hr,archived_valid_rate,audited_sample_hr_lower,audited_sample_hr_upper,audited_sample_hr_tokenizer_scenario_upper,audited_package_hr_one_slot_min,audited_package_hr_one_slot_max,audited_valid_rate_lower,audited_valid_rate_upper,audited_valid_rate_tokenizer_scenario_upper
deepseekcoder,Base,A,500,49,1,15,283,208,280,208,220,489,6,343,0.342,0.26425591098748263,0.642,0.012,0.514,0.45,0.007159904534606206,0.41646778042959426,0.674,0.94,0.908
deepseekcoder,BOUND,A,500,33,2,12,292,204,288,204,212,519,4,314,0.334,0.2580195258019526,0.642,0.008,0.476,0.432,0.0047789725209080045,0.37992831541218636,0.69,0.946,0.922
deepseekcoder,BOUND,B,500,37,4,14,284,210,282,210,218,512,2,341,0.322,0.25180897250361794,0.616,0.004,0.484,0.444,0.0023391812865497076,0.40116959064327484,0.674,0.93,0.902
deepseekcoder,BOUND,C,500,27,2,10,276,198,275,198,225,534,3,362,0.338,0.25471698113207547,0.656,0.006,0.49,0.456,0.0033370411568409346,0.40600667408231367,0.708,0.952,0.932
deepseekcoder,BOUND,D,500,49,3,21,303,225,301,225,199,514,1,350,0.31,0.25245441795231416,0.652,0.002,0.47,0.404,0.0011560693641618498,0.40578034682080927,0.688,0.93,0.888
deepseekcoder,ROME,A,500,500,438,62,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,1.0,0.876,0,0,0.0,1.0,0.876
deepseekcoder,ROME,B,500,500,433,67,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,1.0,0.866,0,0,0.0,1.0,0.866
deepseekcoder,ROME,C,500,499,436,63,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,0.998,0.872,0,0,0.0,0.998,0.872
deepseekcoder,ROME,D,500,42,0,11,281,212,280,212,220,469,4,319,0.34,0.2682926829268293,0.604,0.008,0.498,0.446,0.005050505050505051,0.4078282828282828,0.658,0.92,0.898
deepseekcoder,MEMIT,A,500,48,2,15,297,208,295,208,205,497,4,310,0.346,0.27391304347826084,0.632,0.008,0.484,0.42,0.004932182490752158,0.3871763255240444,0.696,0.936,0.906
deepseekcoder,MEMIT,B,500,54,1,19,285,212,279,212,221,476,4,308,0.354,0.27786032689450224,0.606,0.008,0.518,0.45,0.005076142131979695,0.39593908629441626,0.654,0.93,0.89
deepseekcoder,MEMIT,C,500,59,3,13,281,208,279,208,221,501,6,345,0.362,0.2802816901408451,0.63,0.012,0.526,0.46,0.007042253521126761,0.4119718309859155,0.686,0.952,0.924
deepseekcoder,MEMIT,D,500,49,3,15,275,201,272,201,228,499,3,347,0.358,0.2710926694329184,0.618,0.006,0.52,0.464,0.0035335689045936395,0.4122497055359246,0.676,0.934,0.904
deepseekcoder,DINM,A,500,192,61,22,314,252,313,252,187,448,4,264,0.278,0.25245901639344265,0.556,0.008,0.65,0.5,0.00558659217877095,0.3743016759776536,0.61,0.964,0.92
deepseekcoder,DINM,B,500,145,40,20,299,227,296,227,204,457,2,308,0.332,0.27203647416413373,0.578,0.004,0.616,0.488,0.002607561929595828,0.4041720990873533,0.632,0.958,0.918
deepseekcoder,DINM,C,500,160,37,21,300,225,300,225,200,452,5,299,0.33,0.2839313572542902,0.574,0.01,0.592,0.478,0.006613756613756613,0.4021164021164021,0.614,0.952,0.91
deepseekcoder,DINM,D,500,181,53,23,319,246,312,246,188,435,3,290,0.302,0.27712854757929883,0.554,0.006,0.632,0.486,0.004120879120879121,0.4024725274725275,0.606,0.958,0.912
deepseekcoder,Full-FT,A,500,19,1,9,261,185,258,185,242,571,5,390,0.37,0.27974683544303797,0.656,0.01,0.518,0.49,0.005175983436853002,0.40890269151138714,0.746,0.962,0.944
deepseekcoder,Full-FT,B,500,30,2,10,279,199,277,199,223,541,5,411,0.346,0.2710526315789474,0.632,0.01,0.498,0.454,0.00522466039707419,0.4346917450365726,0.712,0.942,0.922
deepseekcoder,Full-FT,C,500,33,4,10,269,192,269,192,231,502,1,391,0.344,0.27880512091038406,0.628,0.002,0.506,0.468,0.0011185682326621924,0.43847874720357943,0.69,0.948,0.928
deepseekcoder,Full-FT,D,500,23,2,9,267,192,264,192,236,530,1,395,0.356,0.2621870882740448,0.638,0.002,0.5,0.472,0.0010799136069114472,0.42764578833693306,0.706,0.948,0.93
qwen3,Base,A,500,27,2,1,278,194,263,184,237,487,1,368,0.37,0.2784992784992785,0.55,0.002,0.516,0.48,0.0011682242990654205,0.4310747663551402,0.616,0.884,0.882
qwen3,BOUND,A,500,128,22,0,307,196,298,187,202,656,0,402,0.322,0.2097560975609756,0.588,0.0,0.542,0.428,0.0,0.3799621928166352,0.704,0.894,0.894
qwen3,BOUND,B,500,55,12,0,326,234,316,224,184,487,0,342,0.3,0.2327718223583461,0.516,0.0,0.426,0.384,0.0,0.41254523522316044,0.602,0.794,0.794
qwen3,BOUND,C,500,77,17,0,282,179,274,171,226,609,0,389,0.366,0.2344139650872818,0.594,0.0,0.538,0.476,0.0,0.3897795591182365,0.688,0.916,0.916
